,gene,chromosome,position_left,position_right,Direction,Variance
123,Zm00001d035506,6,29709356,29715541,-,4.517698039993767
124,Zm00001d040827,3,68155589,68175332,-,20.562043337735265
125,Zm00001d009472,8,66130624,66133282,+,1.7548386479097449
126,Zm00001d024009,10,36528737,36535462,+,1195.5005496483045
127,Zm00001d040707,3,59443726,59445669,+,4.124771995071899e-05
128,Zm00001d033136,1,251754656,251755894,+,11.40644636950421
129,Zm00001d050138,4,68408217,68409891,-,2.632651915544399e-06
130,Zm00001d018904,7,8852938,8858814,+,36.49398801928878
131,Zm00001d038094,6,147638454,147639972,-,0.011772644898607264
132,Zm00001d016586,5,168555942,168561196,+,2.94408444897346
133,Zm00001d047669,9,138729823,138730439,+,0.0
134,Zm00001d010656,8,123103585,123106431,-,5.429812374692135
135,Zm00001d004845,2,143964359,143964578,+,0.0
136,Zm00001d019542,7,41594772,41601596,-,145.08020365547978
137,Zm00001d039097,6,169964429,169967225,-,0.015349125916058939
138,Zm00001d014292,5,39727456,39730682,-,2.7480974968453458
139,Zm00001d052445,4,190136422,190185316,-,12.719133508865848
140,Zm00001d033106,1,250323655,250324358,-,0.1137947242867738
141,Zm00001d029428,1,70124288,70126529,-,0.021594668005467433
142,Zm00001d045741,9,36304682,36305192,-,0.0
143,Zm00001d037624,6,132162187,132165945,-,3.571052229652902
144,Zm00001d010676,8,123949135,123949753,-,4.195252333117838
145,Zm00001d022264,7,173953536,173954457,+,87561.52267258454
146,Zm00001d035248,6,17132579,17132939,+,0.00037852083378343924
147,Zm00001d034805,1,302475600,302480366,-,29.95332194014358
148,Zm00001d031705,1,199015598,199019446,+,17.239120270210684
149,Zm00001d009288,8,52362589,52378983,+,3.4064399070447395
150,Zm00001d035695,6,41471657,41476812,-,1.5399548983273639
151,Zm00001d049834,4,47102135,47103375,-,7.449427984626016
152,Zm00001d046718,9,103268034,103270103,-,97.9907319999336
153,Zm00001d034986,6,840920,842925,+,198.52810755885946
154,Zm00001d004948,2,150119147,150135017,+,0.013132048143601674
155,Zm00001d021295,7,148139611,148148607,+,69.21495625660653
156,Zm00001d010791,8,127880213,127887153,-,97.97447679162387
157,Zm00001d035438,6,25555218,25557523,+,0.0
158,Zm00001d033988,1,280476816,280478577,-,1.0881941127683485
159,Zm00001d018493,5,221782914,221784572,+,2.4800006774150978
160,Zm00001d033140,1,251981868,251984346,+,0.23953365340395094
161,Zm00001d037899,6,141471441,141476949,-,69.9062260669935
162,Zm00001d036285,6,81823213,81826948,-,20.592886747469574
163,Zm00001d032909,1,242794261,242797695,-,1.50815445764275
164,Zm00001d038534,6,159485636,159487450,+,0.013959833953036146
165,Zm00001d048671,4,3088194,3089163,-,45.78460370217146
166,Zm00001d033004,1,246673837,246679239,-,10.551226564549573
167,Zm00001d012866,5,1358352,1362950,+,9.424337306727974
168,Zm00001d013797,5,20398193,20418365,-,0.4871165794338816
169,Zm00001d003051,2,30447949,30449800,+,3.853213468718335
170,Zm00001d044585,3,232636614,232638157,+,0.0045539362200858165
171,Zm00001d037815,6,138659082,138665341,-,0.06369022957492594
172,Zm00001d006025,2,195445739,195447994,-,1.8280106835534742
173,Zm00001d050012,4,59345906,59346604,-,0.0
174,Zm00001d012878,5,1531935,1534668,+,4384.748339873209
175,Zm00001d025379,10,116471861,116473196,+,38.12641231725676
176,Zm00001d011743,8,160621393,160623569,-,0.002100939315368372
177,Zm00001d035058,6,3446940,3448048,+,0.0
178,Zm00001d017243,5,190146999,190148416,-,0.0849105556970632
179,Zm00001d048921,4,8053787,8054396,-,4.309460747866087e-06
180,Zm00001d018941,7,9991663,9995513,-,16.064095962425498
181,Zm00001d023308,10,2639162,2639637,-,0.5300589903147936
182,Zm00001d024222,10,58034392,58036920,+,73.41260983481008
183,Zm00001d009960,8,92432743,92434990,+,21.98992564951948
184,Zm00001d048314,9,154446528,154450415,+,34.96426315025003
185,Zm00001d007776,2,239399261,239421613,-,0.5735320109996375
186,Zm00001d021868,7,164951418,164954177,+,2.4387578392738187
187,Zm00001d050515,4,95608230,95609363,+,1.1361818211937768e-05
188,Zm00001d009832,8,84207808,84208324,+,0.0010374897428874986
189,Zm00001d034690,1,300083386,300085808,+,1.0352057515276107
190,Zm00001d035535,6,31587837,31589288,+,0.049811397866731846
191,Zm00001d024601,10,80002017,80033465,+,7.393362034403505
192,Zm00001d047121,9,119272819,119283179,-,0.153100320897693
193,Zm00001d051189,4,147847037,147847517,-,0.0014149532345991954
194,Zm00001d024300,10,62829799,62835007,+,12.061782020409918
195,Zm00001d007467,2,232340557,232341637,-,0.0833485756170144
196,Zm00001d051260,4,151010422,151011778,-,4.9543219244706645e-06
197,Zm00001d008713,8,17575049,17577426,+,0.0
198,Zm00001d017161,5,187245045,187245939,-,0.0
199,Zm00001d019017,7,12871608,12872330,+,5.489832312908671e-06
200,Zm00001d048101,9,150201638,150206538,-,96.74491337918799
201,Zm00001d006712,2,215015488,215016952,+,0.0018049952179159108
202,Zm00001d006152,2,199865889,199868263,+,0.005117257594236307
203,Zm00001d015995,5,138116313,138117902,+,0.034138544066507126
204,Zm00001d020627,7,125486268,125489055,+,137.17478164170473
205,Zm00001d021709,7,160908407,160912025,+,1659.6779187333677
206,Zm00001d029111,1,58366032,58367049,+,0.0
207,Zm00001d018503,5,221970821,221973170,-,122.5274065964777
208,Zm00001d028633,1,41467084,41472952,+,0.0006226869915963944
209,Zm00001d021251,7,146867421,146876752,-,0.028371568588682543
210,Zm00001d043171,3,190533367,190535618,+,561.5872259855216
211,Zm00001d036452,6,89058089,89058374,-,5.503702623807581
212,Zm00001d015265,5,81987670,81994006,+,1.6569810110451766
213,Zm00001d053234,4,221211008,221213468,-,103.70475716878278
214,Zm00001d046909,9,110047718,110058786,-,34.82601617638055
215,Zm00001d016318,5,156952616,156960692,-,5.0104813033725195
216,Zm00001d051422,4,158027317,158027632,+,451.727783632715
217,Zm00001d031171,1,180490441,180495243,-,0.010259080281063157
218,Zm00001d051156,4,146401255,146402641,+,220.98158168116507
219,Zm00001d020124,7,94446786,94447188,+,8.181700547575392
220,Zm00001d006118,2,199148928,199152831,+,8.328025218269849
221,Zm00001d031987,1,208751062,208754709,+,0.0002711881131650113
222,Zm00001d031670,1,198158298,198163378,+,10.61835547765783
223,Zm00001d019752,7,56251605,56254707,+,0.1467270559421901
224,Zm00001d029099,1,58011743,58012791,-,375.7269176668643
225,Zm00001d038788,6,164373258,164373711,-,0.0010697133540673784
226,Zm00001d032757,1,237457764,237462379,+,0.006547255527895017
227,Zm00001d021016,7,140499248,140501074,-,287.1265653780266
228,Zm00001d016162,5,147918837,147920379,+,0.0016246665639354167
229,Zm00001d052537,4,192553795,192554988,-,44.38143185399219
230,Zm00001d020069,7,90083030,90086477,-,6.079292214697445
231,Zm00001d038770,6,164172804,164173786,+,0.0003710476258204854
232,Zm00001d012696,8,178779302,178780856,+,0.01097260105287008
233,Zm00001d025885,10,133022287,133031500,+,0.46247511109083295
234,Zm00001d004503,2,115432801,115434127,-,0.04082236750434304
235,Zm00001d010495,8,118000010,118007378,-,0.8867296793938807
236,Zm00001d024760,10,86575065,86575988,+,0.013634579917168937
237,Zm00001d024429,10,70577738,70579793,-,1.1716581675587954
238,Zm00001d016262,5,154574991,154575720,+,0.7172015517747949
239,Zm00001d028761,1,45864594,45867995,+,0.19546402003527621
240,Zm00001d026164,10,140160680,140165357,+,0.41693815660542605
241,Zm00001d033746,1,272697869,272704606,+,1543.1978467210415
242,Zm00001d012656,8,178057915,178061854,-,11.70852788426401
243,Zm00001d020203,7,98963504,98968272,-,3.3225551378754084e-05
244,Zm00001d053566,4,234540870,234543612,-,24.474665819045676
245,Zm00001d018499,5,221856057,221866963,-,4.350776056122921
246,Zm00001d010360,8,111039046,111041287,+,0.316354105087233
247,Zm00001d013936,5,25242211,25245116,+,0.07541075929559884
248,Zm00001d010218,8,104571957,104573658,-,1.059503838771409
249,Zm00001d010478,8,117172757,117177215,-,33.09685536211712
250,Zm00001d043201,3,191430864,191436524,-,347.332610004989
251,Zm00001d045048,9,11038809,11041663,-,41.08499068438088
252,Zm00001d044579,3,232296729,232298214,-,58.14057832451031
253,Zm00001d005546,2,178195809,178206466,-,25.591262649161788
254,Zm00001d019144,7,19084935,19089403,+,0.24186442955357282
255,Zm00001d041864,3,141457404,141463572,-,36.042089927612004
256,Zm00001d024966,10,97204692,97208271,-,301.2144467700124
257,Zm00001d014170,5,34973346,34978069,-,0.000787094961077358
258,Zm00001d048720,4,4181911,4182247,-,168.82109877117801
259,Zm00001d019104,7,16823187,16835309,+,1.8883910773177082
260,Zm00001d025687,10,126206149,126211865,+,0.7948688757453266
261,Zm00001d028039,1,21287189,21292030,+,4.841781171357327
262,Zm00001d009496,8,67222298,67226447,-,150.88059684920387
263,Zm00001d033344,1,259650359,259655654,+,105.42250649172578
264,Zm00001d019382,7,30966948,30975592,+,6.20483621849723e-06
265,Zm00001d006729,2,215388517,215393239,+,0.010976607618853605
266,Zm00001d047217,9,122643386,122646611,-,171.22865934066857
267,Zm00001d008745,8,18867219,18868139,-,2.8441539278797414e-05
268,Zm00001d036776,6,100476743,100483844,+,0.08972379238820999
269,Zm00001d020951,7,137493945,137514552,-,1.4341865463415904
270,Zm00001d024922,10,95178213,95178898,-,0.002106200420067992
271,Zm00001d036862,6,104412250,104413394,-,0.043306188675186916
272,Zm00001d012358,8,172986859,172987579,-,3.6611201176476166e-05
273,Zm00001d011272,8,145369666,145384961,+,2.620538448150852
274,Zm00001d053857,4,242293268,242298482,-,533.0371065782386
275,Zm00001d010736,8,126378026,126380486,+,6.786330017977136
276,Zm00001d041422,3,118593556,118594862,-,24.407859818205743
277,Zm00001d045154,9,14550795,14559105,+,98.6040518922146
278,Zm00001d017827,5,207918440,207919463,+,0.01872297297614352
279,Zm00001d009747,8,79418293,79421379,+,1.553509580454963
280,Zm00001d028593,1,40162846,40168804,+,7.1090170775757064
281,Zm00001d045951,9,49190546,49194078,-,9.289398555754163
282,Zm00001d008440,8,8699527,8700941,+,218.04248223439774
283,Zm00001d025415,10,117937075,117938826,-,2.2501178830017198e-05
284,Zm00001d041448,3,120543648,120546836,+,0.000984433836722663
285,Zm00001d028656,1,42051352,42054601,-,87.2058219428432
286,Zm00001d038114,6,148436042,148447618,-,13.342431242204876
287,Zm00001d013130,5,5228814,5231062,-,3.9329421177500365
288,Zm00001d045909,9,46998835,47006625,+,0.02739512042390721
289,Zm00001d016674,5,172180318,172183764,-,2.3303882812735894
290,Zm00001d043553,3,203691800,203692308,+,0.0
291,Zm00001d036767,6,100154870,100155248,-,0.0
292,Zm00001d024525,10,76302294,76309059,-,24.672467589231097
293,Zm00001d016789,5,176005462,176006711,-,8.015526138882759
294,Zm00001d010118,8,99977953,99980670,+,7.3061115505974e-05
295,Zm00001d013278,5,7698693,7714914,-,1.5500973150409858
296,Zm00001d024683,10,83544384,83545263,+,0.08247965129124747
297,Zm00001d023807,10,22622238,22629995,+,3.9120584751287772
298,Zm00001d043535,3,203077675,203078698,+,9.316889195336293
299,Zm00001d042718,3,178114274,178120637,+,18.785368264129062
300,Zm00001d018576,5,223594562,223599597,-,0.0026217430465653143
301,Zm00001d017604,5,201364587,201367782,+,1.0849528822462833
302,Zm00001d051322,4,154122819,154123029,+,0.03705246836102142
303,Zm00001d035019,6,1974387,1978132,+,7.645632032594583
304,Zm00001d021178,7,145097441,145098301,+,0.0013991452608858093
305,Zm00001d035887,6,58469237,58480578,+,2.101656340761444
306,Zm00001d054005,4,245031730,245044871,+,11.627956579242445
307,Zm00001d021032,7,140954747,140973549,-,26.007445547416506
308,Zm00001d029800,1,87468622,87469510,+,0.001225211131679939
309,Zm00001d014524,5,51589514,51597443,-,8.392455908999944
310,Zm00001d020746,7,131045209,131045485,+,2.2902693016000746
311,Zm00001d017893,5,209703834,209706469,+,3.744654979605145e-07
312,Zm00001d028229,1,27301798,27306634,+,0.43027798619809854
313,Zm00001d039185,6,172151410,172155517,-,0.423081342924939
314,Zm00001d042622,3,174106178,174106810,-,0.0
315,Zm00001d025044,10,101378978,101442082,+,2.546113658023293
316,Zm00001d013641,5,16047467,16048445,+,27.56052802570526
317,Zm00001d052692,4,197537382,197538393,+,4.1472582444269905
318,Zm00001d026084,10,138077229,138079896,+,385.1457721472521
319,Zm00001d030017,1,99828447,99829100,+,0.031439510206720304
320,Zm00001d026311,10,143365794,143369286,+,39.34935238021148
321,Zm00001d034537,1,295854826,295875739,+,0.33733806369547037
322,Zm00001d045547,9,26432096,26433290,+,3.631271623368705
323,Zm00001d025297,10,113212122,113217501,+,0.08486643748504945
324,Zm00001d018807,7,5750533,5754873,-,0.9620236923524654
325,Zm00001d043776,3,209889507,209893445,-,1.5015319953433344
326,Zm00001d030276,1,118395625,118397960,+,0.0
327,Zm00001d012419,8,174174646,174177720,+,0.012909899483149957
328,Zm00001d040603,3,52758776,52777667,-,198.0573663646042
329,Zm00001d026244,10,141740262,141743415,-,13.659596597006468
330,Zm00001d043256,3,193473607,193476982,-,4.03587145778991
331,Zm00001d010340,8,110435823,110437308,-,6.885914285476977
332,Zm00001d018444,5,220937908,220941501,+,1.0127519338263993
333,Zm00001d002656,2,18450319,18475288,-,3.765797499430267
334,Zm00001d018410,5,220246584,220247259,-,2438.4020588413173
335,Zm00001d035587,6,35014113,35022947,-,0.0006120510248174575
336,Zm00001d022112,7,170583692,170584463,+,5757.397827337805
337,Zm00001d018543,5,222688367,222691062,+,0.004588316210154708
338,Zm00001d052131,4,180443234,180444935,-,0.7495360037737241
339,Zm00001d025021,10,100002392,100008244,-,1.0603026322863036
340,Zm00001d011304,8,146192051,146196828,+,0.20107901852419233
341,Zm00001d018710,7,2916601,2918884,-,0.020904389600960457
342,Zm00001d018978,7,11504993,11505464,-,0.0
343,Zm00001d037171,6,114746527,114746938,-,0.0010895517270573317
344,Zm00001d007877,2,241567181,241571836,-,0.8439904326890777
345,Zm00001d007581,2,235123300,235124690,-,2640.7072029648502
346,Zm00001d002967,2,28260453,28267177,-,15.571322270431553
347,Zm00001d030648,1,150689434,150692786,-,7.405570345811122e-06
348,Zm00001d008519,8,11313221,11313938,+,0.0
349,Zm00001d013984,5,27299567,27328407,-,18.75197024394168
350,Zm00001d045353,9,19416879,19434986,+,0.1374743711601881
351,Zm00001d025763,10,128651684,128657893,-,59.78103938011736
352,Zm00001d024500,10,74401073,74401841,+,4.3986666234496505
353,Zm00001d009177,8,41086583,41090905,+,9.449142550307526
354,Zm00001d019443,7,34021296,34022819,+,5.5703275360555326e-05
355,Zm00001d011994,8,166064477,166068375,+,19.1143961695672
356,Zm00001d033663,1,269976125,269979718,+,1.7804350560743456e-05
357,Zm00001d047483,9,131741473,131744323,+,15.536290144303209
358,Zm00001d025809,10,130151165,130153001,-,0.009122035163970381
359,Zm00001d021087,7,142484401,142493269,-,0.7093604157351231
360,Zm00001d021064,7,141949475,141951690,-,0.042435989617495465
361,Zm00001d051634,4,165270580,165276648,+,9.393270324262675
362,Zm00001d044899,9,6706711,6706927,-,119.63672785884656
363,Zm00001d020689,7,128594239,128595867,+,0.0
364,Zm00001d016864,5,178633251,178633455,+,50203.19486781752
365,Zm00001d041682,3,133075624,133080137,+,46.60219448245767
366,Zm00001d045667,9,32539609,32542534,+,220.5665210584135
367,Zm00001d027234,1,118682,119739,-,0.09874527967472548
368,Zm00001d043812,3,210777668,210778733,-,0.04436525579025482
369,Zm00001d020847,7,134492996,134493203,+,1.8716307880446579
370,Zm00001d028175,1,25500296,25502377,-,0.03984250708310466
371,Zm00001d011555,8,154368361,154374551,-,2.611610182746007
372,Zm00001d032180,1,216006332,216008309,-,0.0020252028904022383
373,Zm00001d042611,3,173559173,173562022,-,3.0369768329496623
374,Zm00001d026452,10,146098951,146102717,+,8.212753867700695
375,Zm00001d047702,9,139530830,139532906,-,11.71976879897681
376,Zm00001d045260,9,17349266,17351105,-,0.00043261314052927185
377,Zm00001d013265,5,7397789,7408662,-,7.7637178361692385
378,Zm00001d050905,4,129476398,129478809,-,4.687059337945096
379,Zm00001d021885,7,165356590,165357406,-,0.012727612696062512
380,Zm00001d034300,1,288766264,288767863,-,0.0021277919253755682
381,Zm00001d034560,1,296362257,296363690,-,1.2370010165009446
382,Zm00001d042973,3,185491095,185495066,+,60.999228784932455
383,Zm00001d002479,2,13604788,13605838,-,3.547506017403998
384,Zm00001d004249,2,96016719,96017292,+,0.20451586254139945
385,Zm00001d014275,5,38929695,38950577,+,17.94018740544049
386,Zm00001d048944,4,10376066,10385318,-,36.15756879869344
387,Zm00001d017297,5,192052473,192052659,+,0.18449570519091243
388,Zm00001d041327,3,112397484,112399899,+,0.5980137948272001
389,Zm00001d012497,8,175496458,175498583,+,4.705233753821723e-07
390,Zm00001d015163,5,78140679,78142581,+,5.958938737295266
391,Zm00001d047470,9,131184362,131185660,-,2666.1989318991355
392,Zm00001d014155,5,34329153,34330134,+,0.0025633402740847908
393,Zm00001d024413,10,69712466,69715466,-,71.81329571937206
394,Zm00001d034150,1,285138707,285141599,-,0.0008547956282522361
395,Zm00001d011109,8,139203952,139204243,-,0.09624850507951244
396,Zm00001d029570,1,76771827,76773600,+,4.026721333669731
397,Zm00001d043366,3,197776386,197778922,-,11.074367210611811
398,Zm00001d018293,5,218057800,218058363,-,0.004657574333668162
399,Zm00001d028803,1,46852701,46858687,-,0.32139373549213857
400,Zm00001d011136,8,140060926,140065565,+,271.99443119625346
401,Zm00001d019036,7,13729725,13737584,+,33.07967907017022
402,Zm00001d053216,4,220543717,220544782,+,0.000223715578108784
403,Zm00001d011433,8,150402348,150407215,+,22.524289405054827
404,Zm00001d013844,5,22386059,22387928,+,0.25062298960810564
405,Zm00001d009816,8,82884314,82885231,-,0.0293487047227872
406,Zm00001d020557,7,122228804,122234943,+,2572.8090958770727
407,Zm00001d041623,3,129812155,129815014,-,0.0010034626165243694
408,Zm00001d013187,5,6107063,6112875,-,0.5542813211184526
409,Zm00001d048189,9,152042169,152045904,-,0.31468151580134446
410,Zm00001d033647,1,269556219,269564208,+,82.88357929597949
411,Zm00001d049174,4,19153019,19159545,-,20.831375449617113
412,Zm00001d017801,5,207142339,207144828,+,19.20786305439982
413,Zm00001d050132,4,68202249,68205876,-,0.8336105480037553
414,Zm00001d051540,4,161895525,161904774,+,5.864845599434626e-07
415,Zm00001d001774,2,481354,482248,-,366.43703995280447
416,Zm00001d027759,1,12848105,12850651,+,0.02157612900574278
417,Zm00001d052423,4,189657777,189662193,-,3.024512194933833
418,Zm00001d033223,1,255085622,255093358,+,0.6847026247447308
419,Zm00001d031748,1,200684246,200684807,+,0.0007398110501815943
420,Zm00001d044644,3,233863011,233866099,-,7.626503116929337
421,Zm00001d038856,6,165906917,165907226,+,0.2635590200959384
422,Zm00001d049814,4,45810751,45811210,+,0.036116456317161295
423,Zm00001d043724,3,208317552,208325762,-,1.5858512635109603
424,Zm00001d027577,1,8339276,8357146,-,0.007369587305099041
425,Zm00001d010457,8,116068699,116069586,+,0.003486465814112062
426,Zm00001d013070,5,4264330,4269310,+,0.015543769395733025
427,Zm00001d047177,9,121017365,121018504,-,0.46301842514379105
428,Zm00001d043274,3,194032296,194092833,-,55.413226280281094
429,Zm00001d039379,3,2932313,2932748,-,3029.601949992908
430,Zm00001d051254,4,150839035,150842944,+,4.135868320028466
431,Zm00001d004527,2,116691232,116698136,-,6.129240557701134e-05
432,Zm00001d028355,1,31794589,31806747,-,2.775017787167423
433,Zm00001d012595,8,177029817,177031440,+,0.3297189078585599
434,Zm00001d029846,1,89860312,89863306,-,0.5881780769794384
435,Zm00001d041257,3,108577587,108579186,-,2.444312873930719e-05
436,Zm00001d032772,1,237783446,237790361,+,0.007274460315539416
437,Zm00001d036432,6,88267721,88272469,-,16.63990829164432
438,Zm00001d015356,5,86084654,86086755,-,595.031429002806
439,Zm00001d038213,6,151780307,151786269,+,0.006119137075237739
440,Zm00001d042346,3,162351603,162368554,-,142.2180110263092
441,Zm00001d041221,3,106171261,106172646,-,2.7942135888734594
442,Zm00001d048111,9,150369841,150372175,-,0.5096012429201785
