	gene	chromosome	position_left	position_right	Direction	Variance	Median
1065	Zm00001d024169	10	52321107	52329461	-	18.294080694752314	6.059200000000001
1069	Zm00001d025474	10	119967320	119981337	-	19.218408655949638	12.9353
1086	Zm00001d024058	10	40477027	40481002	-	0.04253658257609735	0.0
1092	Zm00001d023797	10	21896215	21908831	+	1.0914253275392556	2.8737399999999997
1108	Zm00001d024435	10	70733273	70735196	+	1.7869735734338343e-05	0.0
1110	Zm00001d023672	10	14661358	14662071	+	0.7953354074839409	0.0
1155	Zm00001d024621	10	80562831	80565140	+	35.87123634221507	3.4696350000000002
1187	Zm00001d025342	10	114817294	114821325	-	6.148177848975295	8.193635
1195	Zm00001d023856	10	25214018	25214375	+	15126.89422288765	138.72199999999998
1224	Zm00001d024155	10	50392426	50394713	+	1.1423446973479658	1.94468
1230	Zm00001d026120	10	138884176	138886680	+	0.2938791996565241	0.8852789999999999
1231	Zm00001d024718	10	84950248	84953025	-	2.107815893711333	3.401985
1254	Zm00001d024879	10	91986119	91986476	-	0.43333836140510584	0.0432023
1275	Zm00001d026677	10	149751380	149758192	-	28.639828199775742	8.709295000000001
1276	Zm00001d023892	10	26542389	26547193	+	77.48220152774817	25.05985
1289	Zm00001d023661	10	14155390	14155903	+	0.7192362530599874	0.0
1295	Zm00001d024017	10	37082416	37086200	-	0.04057406667864856	0.2528
1297	Zm00001d024454	10	71447440	71448034	-	0.41018975472540953	0.0
1301	Zm00001d024101	10	44982621	44984577	-	9.050217076633427	1.5752000000000002
1315	Zm00001d023574	10	10568672	10569512	-	0.06864445681099765	0.0
1321	Zm00001d025910	10	133559159	133560374	-	0.18126384341135846	0.1453665
1326	Zm00001d024109	10	46166546	46169418	+	1.685906487071431	3.6980250000000003
1339	Zm00001d024912	10	94650675	94652496	-	7.187508037545419e-05	0.0
1342	Zm00001d025783	10	129514823	129515670	-	0.8088482943635319	0.0
1348	Zm00001d024480	10	73297789	73298997	-	0.0	0.0
1368	Zm00001d024209	10	56568677	56569597	+	0.0	0.0
1371	Zm00001d023367	10	4158138	4164989	-	3.4054105184956964	9.138195
1378	Zm00001d025671	10	125810226	125815034	-	0.00019104995345760504	0.0
1383	Zm00001d025652	10	125102973	125107740	-	62.97523079001	32.5747
1388	Zm00001d025632	10	124639081	124640104	+	0.0	0.0
1404	Zm00001d024935	10	95666016	95669076	-	1.8031500974894465	5.523645
1411	Zm00001d026641	10	149273827	149277821	-	8.3425562427604	7.405729999999999
1414	Zm00001d024257	10	59904007	59904722	+	0.0036883684881639897	0.0
1435	Zm00001d025171	10	107516182	107521020	-	27.342847725226203	10.0486
1474	Zm00001d026306	10	143271398	143283473	-	22.028497555163842	8.483694999999999
1498	Zm00001d025939	10	134160822	134164469	-	42.92781209631617	21.11635
1500	Zm00001d024475	10	72600342	72603299	+	10.58190798166481	0.25527299999999997
1514	Zm00001d026411	10	145352254	145353470	-	0.0003487064073131717	0.0
1526	Zm00001d024393	10	68584697	68594748	-	145.03102399814983	38.4648
1536	Zm00001d026703	10	150491549	150493423	+	4.453936231960056	5.44789
1560	Zm00001d026595	10	148673612	148674576	-	1.6727558734973915	0.16557850000000002
1566	Zm00001d025343	10	114917650	114919660	-	11.589673097813979	4.727675
1587	Zm00001d025737	10	127951567	127954961	+	0.07541781878751891	0.106516
1611	Zm00001d025115	10	105046349	105047745	-	0.39670724839082266	0.2029415
1671	Zm00001d026397	10	145157329	145158895	-	19.839934455002606	15.8717
1697	Zm00001d026022	10	136253288	136260329	-	14.002535453808768	13.12715
1719	Zm00001d024843	10	90456449	90457394	-	333.5287600936695	20.5501
1723	Zm00001d026270	10	142437416	142472462	-	4.532036218394991	5.65934
1745	Zm00001d024442	10	70937904	70938546	-	5.953799350651368	0.9698365
1761	Zm00001d023993	10	35139342	35141232	-	0.08809659573354198	0.0
1767	Zm00001d026408	10	145332302	145333518	+	0.0002564392840575427	0.0
1792	Zm00001d025186	10	108425497	108434020	-	1.9684972296257995e-05	0.0
1802	Zm00001d026611	10	148923922	148924600	+	17.07864338973666	1.1896200000000001
1826	Zm00001d024306	10	63061547	63063353	+	3.485978650262936	5.11988
1930	Zm00001d026030	10	136396306	136404366	+	8.466904183196311	11.51355
1954	Zm00001d025089	10	103296024	103297278	-	5.3945960732601444e-05	0.0
1972	Zm00001d023559	10	10215794	10217698	-	508274.85490249196	2051.1099999999997
1988	Zm00001d023264	10	1600458	1605134	+	3.3869052472208616	2.318515
2000	Zm00001d023431	10	5419970	5427473	-	155.0434348579544	36.56455
2014	Zm00001d026444	10	145957842	145958571	+	0.11431412337381712	0.0
2020	Zm00001d024985	10	97994243	97996709	-	0.0006231080807985251	0.0
2074	Zm00001d023966	10	32431428	32440928	-	8.496267326180441e-05	0.0
2087	Zm00001d026468	10	146511737	146512471	-	0.012241316317378789	0.0
2121	Zm00001d025706	10	126880548	126888843	-	48.39338434083503	4.147270000000001
2141	Zm00001d024510	10	74930191	74935116	-	128.828803479591	15.08125
2147	Zm00001d026005	10	135849249	135850464	-	0.27158237681723607	0.49121950000000003
2170	Zm00001d024632	10	81333940	81337901	+	1.5758895416220062	3.62753
2177	Zm00001d023243	10	1295377	1301629	-	82.81309229134727	24.264499999999998
2190	Zm00001d023682	10	15276162	15279719	+	30.14920310380252	15.854299999999999
2208	Zm00001d024286	10	61733104	61735178	-	0.032960915428135194	0.0
2214	Zm00001d026600	10	148722105	148724784	+	8.018386945666322	4.0977049999999995
2237	Zm00001d026035	10	136503441	136504374	+	17.652982857349325	5.563784999999999
2250	Zm00001d024554	10	78079495	78080596	+	0.0	0.0
2252	Zm00001d024436	10	70790075	70790636	+	0.11150356825152496	0.0
2276	Zm00001d025905	10	133424696	133429751	+	3.1808739719558927	2.88868
2281	Zm00001d023900	10	27174145	27174732	+	41.45760903579469	1.066805
2297	Zm00001d023335	10	3622816	3623410	+	5.382064871921166	0.749228
2301	Zm00001d023706	10	16400382	16407915	+	13.048667178543774	11.54155
2305	Zm00001d023321	10	3232064	3239970	-	0.05244514965852738	0.146432
2315	Zm00001d023651	10	13646857	13651222	+	19.52604141322547	7.706615
2324	Zm00001d026160	10	140066626	140067028	-	269932.29393201397	1139.35
2396	Zm00001d024292	10	62317296	62320708	-	25.136730356706792	22.3316
2430	Zm00001d025263	10	111734228	111744673	+	2.6583232253181257	3.503715
2437	Zm00001d026386	10	144857192	144861500	+	11.67040815830253	2.1212850000000003
2455	Zm00001d026479	10	146713591	146719187	+	10.072493386843819	8.25637
2464	Zm00001d025565	10	122475811	122478060	-	0.007295730934605143	0.0
2483	Zm00001d025943	10	134290812	134294851	+	21.85567422825831	6.77306
2493	Zm00001d025103	10	104219160	104224390	-	18.103390326401854	5.89624
2500	Zm00001d025806	10	130108786	130110899	-	0.31345040505363314	0.0
2510	Zm00001d023293	10	2239887	2240337	+	388.17363896606054	45.695800000000006
2550	Zm00001d023766	10	19366998	19369043	-	7.201336590056533e-05	0.0
2584	Zm00001d024517	10	75684690	75686862	-	0.8929852012994592	0.0
2602	Zm00001d026569	10	148186746	148188802	+	0.0291314669854678	9.46626e-06
2603	Zm00001d026177	10	140377175	140378531	+	14498.185478105235	210.5655
2604	Zm00001d024722	10	85123159	85131753	+	36.756501097061765	19.98775
2609	Zm00001d024832	10	90134128	90141743	+	95.20192960278943	25.1632
2634	Zm00001d024545	10	77547496	77548246	-	0.10066998740940056	0.13539400000000001
2646	Zm00001d026291	10	142982966	142990366	-	109.34867153481834	33.49185
2660	Zm00001d024467	10	72225290	72228591	+	7.213308713368652	5.682815
2661	Zm00001d025404	10	117395750	117396956	+	3.6258957314659335	0.0
2688	Zm00001d024239	10	59002719	59005171	+	380.407718313176	60.10745
2695	Zm00001d023569	10	10505769	10506456	+	0.30805166759937347	0.0
2710	Zm00001d025622	10	124263584	124264328	+	10.162008635823947	4.62153
2713	Zm00001d025983	10	135289992	135295917	-	0.34277171365206305	0.556
2730	Zm00001d025682	10	126118594	126120725	+	0.4067698933147868	0.0
2743	Zm00001d026586	10	148397981	148402287	-	424.6842475260506	22.840400000000002
2753	Zm00001d024729	10	85508259	85512046	-	64.90815471754894	21.938499999999998
2766	Zm00001d025636	10	124662749	124663772	+	0.0	0.0
2768	Zm00001d026577	10	148261490	148265297	-	332.8086958034633	45.548500000000004
2772	Zm00001d025093	10	103655321	103658082	-	0.0004565363014829722	0.0
2775	Zm00001d023583	10	10822455	10840261	-	3.182383820568331	5.100095
2778	Zm00001d025989	10	135487492	135492026	-	0.04043783659279227	0.166977
2784	Zm00001d026647	10	149345775	149364298	-	68.33651960346432	21.04705
2787	Zm00001d026185	10	140536233	140541062	+	0.057977721071562266	0.2301295
2802	Zm00001d025317	10	114026047	114027155	+	0.019943472784167197	0.0
2803	Zm00001d025135	10	106024878	106026915	+	0.1564649722582565	0.0
2804	Zm00001d023518	10	8597734	8598124	-	0.0633803132229767	0.0
2807	Zm00001d024253	10	59799804	59801207	-	0.0	0.0
2811	Zm00001d026269	10	142406257	142407949	-	28.41643078737995	11.03855
2823	Zm00001d024953	10	96630695	96658868	-	2.700584515432549	3.4577299999999997
2841	Zm00001d026625	10	149117609	149118763	+	28.142871516390187	6.786095
2842	Zm00001d025284	10	112581188	112583676	-	8.220227310135403e-05	0.0
2845	Zm00001d023216	10	601187	602564	-	1294.2597795526592	31.94305
2880	Zm00001d026673	10	149712249	149712786	+	0.3588905239176366	0.0
2889	Zm00001d023445	10	5687918	5692830	+	3.681432741869798	10.5292
2904	Zm00001d023859	10	25283887	25287483	-	1.0794395502138163	0.4926405
2905	Zm00001d024187	10	54271061	54275105	+	5.713058861004253	9.701745
2933	Zm00001d026544	10	147964646	147967404	-	2.2355688152490094	1.7277300000000002
2949	Zm00001d026125	10	139026767	139028533	-	1.1612934233749072e-05	0.0
2962	Zm00001d025239	10	110579972	110588202	-	452.69413285884906	68.1628
2977	Zm00001d026659	10	149561897	149574713	+	0.0015098089838786052	0.0
2989	Zm00001d024625	10	80856441	80879275	+	5.085380258891447	6.20412
2994	Zm00001d025426	10	118308072	118309513	-	0.0005014161345585959	0.0
3022	Zm00001d023799	10	22055519	22056952	-	4.57540191129733	0.37156449999999996
3111	Zm00001d026633	10	149198713	149200759	+	20.625193213238997	12.38635
3165	Zm00001d024654	10	82205986	82207403	+	1.3366587337217402e-05	0.0
3172	Zm00001d026087	10	138092987	138096230	-	0.00024249587626077218	0.0
3178	Zm00001d023641	10	13342456	13342981	+	0.0	0.0
3191	Zm00001d026494	10	147113321	147113933	-	0.8840048126590249	0.0
3194	Zm00001d026163	10	140143157	140146819	-	2379.6693677725643	73.209
3197	Zm00001d025035	10	100748576	100750979	-	1.7068020711531793	2.99147
3211	Zm00001d025677	10	126027230	126028126	-	0.015766549832820196	0.0
3236	Zm00001d026297	10	143164540	143165139	-	9.00742984252775	1.53576
3254	Zm00001d024942	10	96023175	96023557	-	0.0	0.0
3260	Zm00001d024462	10	71953332	71955151	+	34.94021444171967	18.2021
3269	Zm00001d023271	10	1785759	1789535	-	1.0888388607611295	2.39137
3274	Zm00001d026323	10	143580869	143586028	+	0.0018808740923795478	0.0
3281	Zm00001d025182	10	108128002	108131484	+	1.3119712956293987	2.4241349999999997
3326	Zm00001d025601	10	123609331	123609999	+	0.00020219100325306422	0.0
3338	Zm00001d025844	10	131468001	131469765	+	0.0012636631712445905	0.0
3341	Zm00001d023939	10	30314943	30317071	+	529.0693621074993	52.1811
3353	Zm00001d024852	10	90656250	90657509	-	3.4363965139423716	0.355893
3359	Zm00001d023746	10	18419961	18420342	-	0.0	0.0
3370	Zm00001d023736	10	18031500	18037018	+	0.07206761223393918	0.1345035
3391	Zm00001d026434	10	145756680	145759431	+	0.5056365504499949	0.2316725
3398	Zm00001d023507	10	7855626	7859481	+	3.846591724093686	6.274430000000001
3413	Zm00001d024343	10	65880913	65886361	+	135.157447660308	25.212049999999998
3427	Zm00001d024866	10	91320382	91321483	-	5.819534956384795	2.043045
3443	Zm00001d026077	10	137914067	137915517	+	0.14222264516970803	0.0
3457	Zm00001d025504	10	120752671	120758078	+	0.0017863690214289852	0.0
3460	Zm00001d026549	10	148006439	148015145	-	3.1738969109885913	5.167775
3462	Zm00001d023487	10	7166122	7167250	-	0.0	0.0
3469	Zm00001d024034	10	38698827	38720756	+	0.4572882186896788	2.7462
3482	Zm00001d025203	10	108938340	108949550	+	17.717629187905278	16.27465
3487	Zm00001d026350	10	144091287	144093948	+	0.258339139605347	1.7056399999999998
3488	Zm00001d024225	10	58196314	58208268	+	9.835697485893999	7.385975
3490	Zm00001d025306	10	113520373	113523864	+	0.0	0.0
3522	Zm00001d023531	10	8869526	8872560	-	0.23584155523624908	0.603629
3531	Zm00001d024617	10	80385878	80387306	+	0.0	0.0
3532	Zm00001d025477	10	120040996	120041623	-	1.6013638543353488	0.6158399999999999
3538	Zm00001d024171	10	52662144	52669708	-	3.410585704138287	7.14972
3543	Zm00001d025517	10	121027428	121032089	+	46.28715368820102	20.871499999999997
3570	Zm00001d024691	10	83696863	83697790	+	490.369701814413	21.0744
3572	Zm00001d025642	10	124769205	124769689	+	0.0009347060999635771	0.0
3581	Zm00001d024164	10	51618708	51619885	+	0.31923448421138517	0.9012930000000001
3586	Zm00001d024577	10	78875859	78876914	+	0.0	0.0
3589	Zm00001d025324	10	114125067	114128392	-	1.0817510526539419e-05	0.0
3592	Zm00001d025874	10	132243699	132247155	+	0.5502993966257403	0.7538279999999999
3602	Zm00001d023286	10	2213582	2213879	-	23.463178918958782	0.0
3620	Zm00001d026031	10	136405186	136407606	+	7.7645218923458685	7.02951
3645	Zm00001d026628	10	149177140	149178387	-	83.89451964519107	8.020895
3648	Zm00001d025851	10	131505986	131507148	-	0.40879753770338895	0.8224835
3674	Zm00001d024927	10	95363429	95366568	-	10.510758065909375	8.11841
3708	Zm00001d025695	10	126530157	126532242	-	0.8239364666879593	1.214075
3712	Zm00001d024753	10	86312504	86313524	+	6.687322221631056	1.6136949999999999
3725	Zm00001d023265	10	1606000	1612705	-	20.181265860019607	6.468985
3734	Zm00001d025676	10	126005850	126006656	+	0.014045553753765715	0.0
3746	Zm00001d026405	10	145315797	145319169	-	8039.881423133649	290.776
3755	Zm00001d025990	10	135492672	135498194	+	0.00023706670131967768	0.0
3775	Zm00001d024322	10	64559409	64560171	+	7.476424082073475	9.344729999999998
3791	Zm00001d024229	10	58417185	58422086	+	0.9701579430748513	3.13817
3813	Zm00001d025508	10	120809942	120810596	+	3.0345421371670107	0.6922445
3815	Zm00001d023758	10	19052891	19053506	+	0.0015015361931420953	0.0
3822	Zm00001d023718	10	16725272	16728563	+	9.962287688163374e-06	0.0
3828	Zm00001d023514	10	8362887	8366417	-	43.06959120998071	16.5043
3833	Zm00001d025835	10	131402570	131413362	+	0.0017920128772370932	0.0
3846	Zm00001d025008	10	99428646	99432260	-	1.6233100374350602	4.691585
3855	Zm00001d025839	10	131429028	131432842	+	0.2520521450666993	6.16366e-08
3893	Zm00001d026146	10	139754056	139755187	+	0.011096670781236438	0.0
3939	Zm00001d024787	10	88361368	88366871	+	72.85701330420261	31.1977
3946	Zm00001d025250	10	111056631	111058362	-	0.004000237360555342	0.0
3951	Zm00001d026213	10	141041898	141053154	-	6.548283201021204	7.548085
3961	Zm00001d023405	10	4904251	4904476	+	0.016578078665647332	0.0
3967	Zm00001d025827	10	131080688	131103919	+	43.209478655265364	16.1569
3968	Zm00001d025266	10	111795983	111805082	-	0.06152034512786868	0.161052
3972	Zm00001d024701	10	84124038	84129119	+	2.255599138167986	3.25214
3978	Zm00001d026286	10	142863673	142866331	+	2140.7962688596394	121.7015
4001	Zm00001d025442	10	118771366	118780315	-	0.026080191179676394	0.0
4006	Zm00001d025774	10	129119827	129135482	-	11.07843391365997	5.978025000000001
4019	Zm00001d025051	10	101740186	101740774	+	0.0	0.0
4024	Zm00001d023483	10	7023616	7024744	-	0.0	0.0
4025	Zm00001d023413	10	5037510	5038986	+	0.05685927488329423	0.0
4045	Zm00001d026191	10	140619550	140620363	+	67.76890911652637	7.453479999999999
4068	Zm00001d023739	10	18111424	18112592	-	0.0	0.0
4071	Zm00001d025225	10	110101287	110101653	+	40.930595636981685	1.18378
4084	Zm00001d024958	10	96868195	96869084	-	0.00018473150083249298	0.0
4133	Zm00001d026652	10	149393076	149397563	-	9.532593639977618	5.110035
4139	Zm00001d024930	10	95463551	95465555	+	0.001392214370990273	0.0
4153	Zm00001d025540	10	121752458	121754514	-	0.000927044425502338	0.0
4161	Zm00001d024158	10	51121120	51133038	-	25.345831488935218	19.67025
4170	Zm00001d026301	10	143204082	143209377	-	2.0723544423642433	3.2884199999999995
4199	Zm00001d026115	10	138792405	138793809	-	1.4616084715756595e-05	0.0
4206	Zm00001d025273	10	112116863	112124493	-	528.7879404755106	117.64349999999999
4208	Zm00001d025669	10	125756451	125761608	-	0.08930284192072661	0.7176910000000001
4229	Zm00001d024197	10	55002371	55004094	-	0.0002733478870419757	0.0
4234	Zm00001d024835	10	90195369	90197131	-	5195.878747025593	277.81600000000003
4245	Zm00001d026199	10	140831971	140832784	-	16.026240576005144	4.956665
4252	Zm00001d025390	10	116725256	116727696	+	0.0016608632858666852	0.0
4278	Zm00001d023391	10	4470646	4479429	+	3.0978391331736304	5.63217
4298	Zm00001d024532	10	76729753	76734531	-	0.3033668485237906	1.52378
4309	Zm00001d025073	10	102552538	102554879	-	0.13683626137067517	0.0
4322	Zm00001d024725	10	85285498	85286719	-	0.0691620349030687	0.0
4331	Zm00001d024915	10	94800905	94803266	+	0.0003118662453195074	0.0
4357	Zm00001d026265	10	142361346	142368169	-	32.01029589057555	18.1017
4379	Zm00001d023723	10	17270056	17271457	-	0.011401967849440427	0.1155245
4399	Zm00001d025757	10	128605357	128610245	+	6.0787576940185835	4.8142
4401	Zm00001d025740	10	128079455	128090847	+	2.238714359848314	2.790715
4408	Zm00001d026367	10	144422317	144422683	-	8.794867947969522	2.01974
4410	Zm00001d025106	10	104541549	104545518	-	1.0572612234159655	0.915583
4416	Zm00001d024711	10	84549484	84554071	-	39.938714819694745	0.0
4425	Zm00001d025930	10	133977639	133978998	+	0.053744494116718576	0.12716650000000002
4458	Zm00001d023654	10	13703505	13706153	-	10.126372478316675	4.72637
4463	Zm00001d026221	10	141436800	141438999	+	0.07672183784961041	0.0
4484	Zm00001d025420	10	118110564	118111819	-	0.06837282745663205	0.1685505
4486	Zm00001d024635	10	81355518	81359449	-	317.2437993845777	42.28935
4490	Zm00001d023901	10	27251529	27252715	+	2292.472514447605	81.00445
4502	Zm00001d024975	10	97685326	97689706	+	2.336537206714755	0.020750150000000002
4503	Zm00001d026008	10	135876459	135879940	-	7.180725091672257e-05	0.0
4528	Zm00001d026362	10	144222450	144249626	-	18.619707081148707	13.09355
4570	Zm00001d024608	10	80193416	80198259	-	0.0008146723675062002	0.0
4584	Zm00001d024776	10	87350835	87353261	+	1.2526123010615733e-05	0.0
4586	Zm00001d025059	10	102054801	102055944	+	804.741758330409	31.975099999999998
4619	Zm00001d026109	10	138678060	138680423	-	0.025919596382246234	0.0
4620	Zm00001d026040	10	136648712	136650056	-	4.004254750184389	1.7151649999999998
4630	Zm00001d024431	10	70699713	70701228	-	0.08051092681364387	0.0
4635	Zm00001d025561	10	122373074	122374967	-	0.00022466730295659783	0.0
4636	Zm00001d025810	10	130157861	130159157	-	0.01816370667734564	0.0
4638	Zm00001d025374	10	116159438	116160239	+	9.868946690637463	1.19391
4653	Zm00001d024996	10	98385297	98386222	+	22575.409942614267	82.89224999999999
4654	Zm00001d025705	10	126856804	126878792	-	43.16188548089461	5.99725
4675	Zm00001d026663	10	149603977	149604751	-	1.6546836308727306	1.21509
4704	Zm00001d024568	10	78544725	78549479	-	0.4668127119229806	1.6720899999999999
4723	Zm00001d024883	10	92160788	92164199	-	25.60160191610564	8.914135
4737	Zm00001d024840	10	90387390	90399823	+	0.0014791667773847307	0.0
4764	Zm00001d026691	10	150051954	150061708	-	2.343040957997781	5.320365000000001
4775	Zm00001d026517	10	147469297	147474320	+	131.096792188658	32.6606
4779	Zm00001d023842	10	24272875	24275088	+	0.00040199167926231906	0.0
4780	Zm00001d023366	10	4128219	4129971	-	95.6377012166796	25.4194
4786	Zm00001d024698	10	83962004	83966353	-	2.819187743068115	7.49672
4827	Zm00001d026574	10	148210411	148216298	-	3.349949311905365	0.0
4836	Zm00001d024590	10	79531183	79531673	+	0.0	0.0
4854	Zm00001d023912	10	27881680	27885933	+	3.451312606964991	3.389985
4860	Zm00001d026514	10	147437435	147441371	-	12.083265013715252	7.45621
4879	Zm00001d025539	10	121727842	121731496	-	1.9251749414589239	0.9944774999999999
4898	Zm00001d026026	10	136307169	136309172	-	8.973134377156587	3.263725
4902	Zm00001d026284	10	142767422	142768557	+	27.52626095077402	9.186775
4931	Zm00001d025557	10	122317130	122325516	+	0.006993072736315076	0.0
4980	Zm00001d026437	10	145821442	145826784	-	320.22430374116186	55.3143
4991	Zm00001d023278	10	2027906	2031976	+	43.449546065336506	19.9296
5008	Zm00001d025777	10	129239383	129245248	-	90.58198264903969	32.742450000000005
5090	Zm00001d026375	10	144614769	144619504	-	0.031550243767952714	0.0
5091	Zm00001d023783	10	19975234	19977409	+	0.009635130966697648	0.0
5121	Zm00001d025308	10	113713985	113714453	-	0.6491817994002577	0.0
5122	Zm00001d025940	10	134168605	134169597	-	1.3364139794824612	2.319465
5140	Zm00001d024356	10	66564121	66569277	+	0.04813625315375401	0.0
5164	Zm00001d023534	10	9078176	9084700	+	92.02486607132192	14.72945
5174	Zm00001d023593	10	11236320	11238707	-	261.61909969044723	35.245549999999994
5178	Zm00001d025962	10	134948588	134952020	+	0.05195764972228902	0.0
5182	Zm00001d025286	10	112660018	112662739	+	178.2454047828024	58.4971
5183	Zm00001d023652	10	13697130	13701454	+	37.73859080407609	13.51785
5190	Zm00001d023246	10	1445595	1448353	-	4.3767188582112055	2.86515
5210	Zm00001d024313	10	63559788	63560457	-	2.677516372080707e-05	0.0
5214	Zm00001d026062	10	137308232	137310190	-	0.04967544702492755	0.053933350000000005
5234	Zm00001d026091	10	138160693	138165120	+	11.673499468508345	11.98635
5241	Zm00001d024612	10	80319652	80328964	+	18.036683575576784	0.167778
5257	Zm00001d026357	10	144191353	144192970	+	0.1830190414157778	0.445932
5258	Zm00001d025310	10	113838139	113839870	-	9.571230286219386	1.942005
5276	Zm00001d025602	10	123611357	123612012	+	0.0	0.0
